Country Name,Country Code,Time,Time Code,Completion rate primary education adjusted gender parity index (GPIA) [UIS.CR.1.GPIA],Completion rate primary education adjusted location parity index (LPIA) [UIS.CR.1.LPIA],Completion rate primary education adjusted wealth parity index (WPIA) [UIS.CR.1.WPIA],Completion rate primary education both sexes (%) [UIS.CR.1],Completion rate primary education rural both sexes (%) [UIS.CR.1.RUR],Completion rate primary education urban both sexes (%) [UIS.CR.1.URB],Enrolment in primary education both sexes (number) [SE.PRM.ENRL],Government expenditure on education as % of GDP (%) [SE.XPD.TOTL.GD.ZS],Government expenditure on primary education constant PPP$ (millions) [UIS.X.PPPCONST.1.FSGOV],Government expenditure on education not specified by level constant PPP$ (millions) [UIS.X.PPPCONST.UK.FSGOV],Gross enrolment ratio primary both sexes (%) [SE.PRM.ENRR],Gross enrolment ratio primary gender parity index (GPI) [SE.ENR.PRIM.FM.ZS],Percentage of qualified teachers in primary education both sexes (%) [UIS.QUTP.1],Proportion of primary schools with access to basic drinking water (%) [UIS.SCHBSP.1.WWATA],Proportion of primary schools with access to electricity (%) [UIS.SCHBSP.1.WELEC],Proportion of primary schools with basic handwashing facilities (%) [UIS.SCHBSP.1.WWASH],Proportion of primary schools with access to Internet for pedagogical purposes (%) [UIS.SCHBSP.1.WINTERN],Proportion of primary schools with access to computers for pedagogical purposes (%) [UIS.SCHBSP.1.WCOMPUT],Proportion of students at the end of primary education achieving at least a minimum proficiency level in mathematics both sexes (%) [UIS.MATH.PRIMARY],Proportion of students at the end of primary achieving at least a minimum proficiency level in reading adjusted gender parity index (GPIA) [UIS.READ.PRIMARY.GPIA],Proportion of students at the end of primary achieving at least a minimum proficiency level in mathematics adjusted gender parity index (GPIA) [UIS.MATH.PRIMARY.GPIA],Proportion of students at the end of primary education achieving at least a minimum proficiency level in reading both sexes (%) [UIS.READ.PRIMARY],Survival rate to the last grade of primary education gender parity index (GPI) [UIS.SR.1.GLAST.GPI],Proportion of teachers with the minimum required qualifications in primary education both sexes (%) [SE.PRM.TCAQ.ZS]
Timor-Leste,TLS,2016,YR2016,1.09938,0.81845,0.61991,80.48493,75.33385,92.04506,236190.0,8.05194,,,125.72125,0.97057,,,,,,,,,,,1.07,
Timor-Leste,TLS,2017,YR2017,,,,,,,222835.0,7.06049,,,119.76513,0.96472,,,,,,,,,,,,
Timor-Leste,TLS,2018,YR2018,,,,,,,212849.0,6.79295,,,115.30781,0.96485,75.71059,67.31669,82.13729,,,,,,,,1.09028,
Timor-Leste,TLS,2019,YR2019,,,,,,,206512.0,,,,112.48298,0.97849,76.52502,68.14642,84.19003,68.30218,,,,,,,,
Timor-Leste,TLS,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Togo,TGO,2015,YR2015,,,,,,,1498312.0,5.1086,349.07014,0.0,128.044,0.95155,32.56617,,,,,,,,,,,73.3292
Togo,TGO,2016,YR2016,,,,,,,1498314.46,4.95558,355.16783,0.0,125.10715,0.95166,,,,,,,,,,,,
Togo,TGO,2017,YR2017,0.91979,0.88234,0.70969,79.82733,75.63488,85.72043,1524191.0,4.98976,,0.0,124.35097,0.95395,,20.20506,24.18319,,,,,,,,,
Togo,TGO,2018,YR2018,,,,,,,1548876.0,5.36957,,,123.76463,0.96445,,,24.95307,,,2.60123,,,,,,
Togo,TGO,2019,YR2019,,,,,,,1584376.0,,,,124.31861,0.96636,40.45685,39.82613,22.14072,19.45124,,13.09427,,,,,,76.7095
Togo,TGO,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,2015,YR2015,,,,,,,16982.0,,,,116.33897,0.99429,92.48408,,,,,,,,,,,92.48408
Tonga,TON,2016,YR2016,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,TON,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,2015,YR2015,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,2016,YR2016,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,2015,YR2015,,,,,,,1114883.0,6.59601,,0.0,114.55494,1.00043,96.64197,,,,,,,,,,,100.0
Tunisia,TUN,2016,YR2016,,,,,,,1139314.0,,,,114.92017,1.00265,,,99.73464,88.12002,57.54236,96.40743,,,,,1.01902,100.0
Tunisia,TUN,2017,YR2017,,,,,,,1170470.0,,,,115.64961,0.99575,100.0,88.549,99.89938,99.61763,56.38962,95.97505,,,,,,100.0
Tunisia,TUN,2018,YR2018,1.0293,0.92958,0.8864,95.09541,90.47094,97.32452,1201736.0,,,,115.44597,0.99137,100.0,98.49684,99.94066,99.52532,48.65506,95.5894,,,,,,100.0
Tunisia,TUN,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,TUR,2015,YR2015,,,,,,,5434150.0,,,,103.0273,0.99315,,,,,,,57.09063,,0.97558,,,
Turkey,TUR,2016,YR2016,,,,,,,5360703.0,,,,100.94765,0.99381,,,,,,,,,,,1.00033,
Turkey,TUR,2017,YR2017,,,,,,,4972430.0,,,,93.15498,0.98987,,,,,,,,,,,0.99983,
Turkey,TUR,2018,YR2018,,,,,,,5104599.0,,,,94.91045,0.98871,,,,,,,,,,,,
Turkey,TUR,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,TUR,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,2015,YR2015,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,2016,YR2016,0.99713,0.99767,1.0,99.85399,99.76656,100.0,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,2019,YR2019,,,,,,,557184.0,,,,117.91405,0.98206,100.0,100.0,100.0,100.0,28.21888,99.19528,,,,,,99.20273
Turkmenistan,TKM,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,2015,YR2015,,,,,,,2577.0,3.15745,9.13989,0.0,74.20098,0.98356,,,,,,,,,,,,
Turks and Caicos Islands,TCA,2016,YR2016,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,2018,YR2018,,,,,,,3680.0,2.91435,5.23016,0.0,116.56636,0.99734,54.80769,100.0,100.0,100.0,93.10345,96.55172,,,,,,42.78846
Turks and Caicos Islands,TCA,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,2015,YR2015,,,,,,,1488.0,,,,99.79879,0.96159,62.39316,,,,,,,,,,0.90481,
Tuvalu,TUV,2016,YR2016,,,,,,,1324.0,,,,88.09049,0.93574,,,100.0,,,,,,,,,76.62338
Tuvalu,TUV,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,2018,YR2018,,,,,,,1324.0,,,,86.02989,0.92247,100.0,,100.0,,,,,,,,,80.0
Tuvalu,TUV,2019,YR2019,,,,,,,1688.0,,,,108.83301,0.91853,100.0,50.0,100.0,100.0,0.0,70.0,,,,,,78.30189
Tuvalu,TUV,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,2015,YR2015,,,,,,,8264317.0,2.34049,,,102.6484,1.02101,,,,,,,52.6,1.0096,0.8471,51.9,,
Uganda,UGA,2016,YR2016,1.07265,0.59452,0.26126,43.61862,38.02795,63.96358,8655924.0,2.15536,,,104.00066,1.03222,,,,,,,,,,,1.01297,
Uganda,UGA,2017,YR2017,,,,,,,8840589.0,2.27205,,,102.70471,1.02789,,,,40.88156,,,,,,,,79.58579
Uganda,UGA,2018,YR2018,,,,,,,,2.13052,,,,,,,,,,,,,,,,
Uganda,UGA,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,2015,YR2015,,,,,,,1536578.0,,,,,,,,,,,,,,,,1.00414,
Ukraine,UKR,2016,YR2016,,,,,,,1599250.0,5.00978,4842.85674,0.0,,,,,100.0,69.33419,41.29321,69.14213,,,,,1.00459,86.02861
Ukraine,UKR,2017,YR2017,,,,,,,1644263.0,5.41226,5917.38889,0.0,,,,,100.0,74.30025,48.15522,77.8626,,,,,1.00373,86.76098
Ukraine,UKR,2018,YR2018,,,,,,,1676550.0,,,,,,,,100.0,78.3115,57.78748,81.51383,,,,,0.99311,87.30054
Ukraine,UKR,2019,YR2019,,,,,,,1724664.0,,,,,,,,100.0,80.88597,79.16325,94.25759,,,,,,89.11279
Ukraine,UKR,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,2015,YR2015,,,,,,,460975.0,,,,111.54276,1.00174,100.0,,,,,,,,,,,100.0
United Arab Emirates,ARE,2016,YR2016,,,,,,,467723.0,,,,108.67271,0.96452,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,100.0
United Arab Emirates,ARE,2017,YR2017,,,,,,,486086.0,,,,108.39706,0.98093,,100.0,100.0,100.0,100.0,100.0,,,,,,
United Arab Emirates,ARE,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,2015,YR2015,,,,,,,4621192.0,5.55616,49642.25671,,101.92527,0.99868,,,,,,,,,,,,
United Kingdom,GBR,2016,YR2016,,,,,,,4721647.0,5.4267,49874.72978,0.0,101.33521,0.99828,,,,,,,,,,,0.99498,
United Kingdom,GBR,2017,YR2017,,,,,,,4820283.0,5.44209,50167.60228,0.0,101.15456,0.99713,,,,,,,,,,,0.99799,
United Kingdom,GBR,2018,YR2018,,,,,,,4892502.0,,,,100.99555,0.99711,,,,,,,,,,,,
United Kingdom,GBR,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,2015,YR2015,1.00065,,,99.73084,,,24785697.0405,,275402.42018,0.0,100.29991,0.99975,,,,,,,,,,,,
United States,USA,2016,YR2016,1.00084,,,99.68895,,,25019051.10764,,285317.30963,0.0,101.36286,0.99833,,,,,,,,,,,,
United States,USA,2017,YR2017,1.00109,,,99.7026,,,25123677.22717,,293636.19703,0.0,101.82144,0.99234,,,,,,,,,,,,
United States,USA,2018,YR2018,,,,,,,24957955.89354,,,,101.25656,0.99884,,,,,,,,,,,,
United States,USA,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,2015,YR2015,1.00645,0.99692,0.96007,97.28,97.0,97.3,316864.0,,,,111.04048,0.97838,100.0,100.0,100.0,,100.0,100.0,,,,,1.00292,100.0
Uruguay,URY,2016,YR2016,1.00824,1.01281,0.96692,97.94,99.14,97.87,309806.0,4.7591,800.84751,115.47469,109.70778,0.97883,100.0,100.0,100.0,,100.0,100.0,,,,,,100.0
Uruguay,URY,2017,YR2017,1.01025,1.0116,0.97486,98.01,99.1,97.95,304309.0,4.8403,820.27444,104.41111,108.45944,0.98391,100.0,100.0,100.0,,100.0,100.0,,,,,,100.0
Uruguay,URY,2018,YR2018,1.01525,1.00985,0.97038,97.6,98.51,97.54,296791.0,5.04759,859.73488,176.98407,106.01723,0.99043,100.0,100.0,100.0,,100.0,100.0,,,,,,100.0
Uruguay,URY,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,URY,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,UZB,2015,YR2015,,,,,,,2134601.0,5.78638,,,99.93193,0.98564,96.91064,,,,,,,,,,1.01047,
Uzbekistan,UZB,2016,YR2016,,,,,,,2260515.0,5.66773,,,101.57249,0.98604,97.5433,,,,,,,,,,1.00861,
Uzbekistan,UZB,2017,YR2017,,,,,,,2391489.0,5.28134,,,103.65492,0.98534,100.0,,100.0,,90.69548,97.05234,,,,,1.01111,98.94492
Uzbekistan,UZB,2018,YR2018,,,,,,,2485178.0,,,,104.23298,0.98505,100.0,90.22784,100.0,90.18604,88.66012,96.68687,,,,,1.02609,99.03335
Uzbekistan,UZB,2019,YR2019,,,,,,,2505930.0,,,,102.22148,0.9877,100.0,68.04341,100.0,84.76451,86.52408,,,,,,,99.97644
Uzbekistan,UZB,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,2015,YR2015,,,,,,,45931.0,5.39081,18.36155,11.38574,109.29187,0.9737,71.83343,,,,,,,,,,,
Vanuatu,VUT,2016,YR2016,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,2017,YR2017,,,,,,,,4.53353,18.03249,6.47839,,,,,,,,,,,,,,
Vanuatu,VUT,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela RB,VEN,2015,YR2015,,,,,,,3476473.0,,,,100.93667,0.97773,,,,,,,,,,,1.02814,
Venezuela RB,VEN,2016,YR2016,,,,,,,3383277.0,,,,98.97734,0.97699,,97.49198,99.48288,,,,,,,,1.01699,
Venezuela RB,VEN,2017,YR2017,,,,,,,3285299.0,,,0.0,97.15034,0.97708,,,,,,,,,,,,
Venezuela RB,VEN,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela RB,VEN,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela RB,VEN,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,2015,YR2015,,,,,,,7543632.0,,,,109.88699,1.00418,,,,,,,,,,,,99.47605
Vietnam,VNM,2016,YR2016,,,,,,,7790009.0,4.34481,,,111.20492,1.01511,,,,,,,,,,,,99.77422
Vietnam,VNM,2017,YR2017,,,,,,,7801560.0,,,,109.15083,1.01762,,,,,,,,,,,,99.72022
Vietnam,VNM,2018,YR2018,,,,,,,8041842.0,4.16745,,,110.59481,1.02183,,,,,,,,,,,,99.86838
Vietnam,VNM,2019,YR2019,,,,,,,8506562.0,,,,115.43517,1.02139,,,,,,,,,,,,99.52093
Vietnam,VNM,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,2015,YR2015,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,2016,YR2016,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,PSE,2015,YR2015,,,,,,,450182.0,5.14136,,,97.51143,0.99987,,,,,,,,,,,1.00038,100.0
West Bank and Gaza,PSE,2016,YR2016,,,,,,,459463.0,5.71773,,1421.19189,97.45101,1.00168,,99.54853,100.0,95.71106,36.56885,73.1377,,,,,,100.0
West Bank and Gaza,PSE,2017,YR2017,,,,,,,477204.0,5.25234,,1346.5114,98.91653,0.99789,62.84589,100.0,100.0,100.0,56.5762,76.40919,,,,,,100.0
West Bank and Gaza,PSE,2018,YR2018,,,,,,,488184.0,,,,98.60411,1.00261,70.47686,99.79716,100.0,95.74037,84.98986,73.63083,,,,,0.99666,100.0
West Bank and Gaza,PSE,2019,YR2019,,,,,,,497002.0,,,,97.73134,0.99934,67.6657,99.41176,100.0,100.0,90.78431,93.92157,,,,,,100.0
West Bank and Gaza,PSE,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Yemen,YEM,2015,YR2015,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Yemen,YEM,2016,YR2016,,,,,,,3900134.0,,,,93.63748,0.87172,59.49083,,,,,,,,,,,
Rep. Yemen,YEM,2017,YR2017,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Yemen,YEM,2018,YR2018,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Yemen,YEM,2019,YR2019,,,,,,,,,,,,,,,,,,,,,,,,
Rep. Yemen,YEM,2020,YR2020,,,,,,,,,,,,,,,,,,,,,,,,
